LABEL,WORD,WORD+1,WORD-1,ABBR,CAP,NUM,LOC,PREF,SUFF,PREP,NERTAG,NEXTWORDS,PREVWORDS
O,Caesars,World,PHI,0,1,0,0,0,0,0,ORG,"[['World', 'I-ACQUIRED', 'ORG'], ['Inc', 'I-ACQUIRED', 'ORG']]","['PHI', 'PHI', 'PHI']"
O,World,Inc,PHI,0,1,0,0,0,1,0,ORG,"[['Inc', 'I-ACQUIRED', 'ORG'], ['declined', 'O', 'OTHER']]","['PHI', 'PHI', 'PHI']"
O,Inc,declined,World,0,1,0,0,0,0,0,ORG,"[['declined', 'O', 'OTHER'], ['immediate', 'O', 'OTHER']]","['PHI', 'PHI', ['Caesars', 'B-ACQUIRED', 'ORG']]"
O,declined,immediate,Inc,0,0,0,0,0,0,0,OTHER,"[['immediate', 'O', 'OTHER'], ['comment', 'O', 'OTHER']]","['PHI', ['Caesars', 'B-ACQUIRED', 'ORG'], ['World', 'I-ACQUIRED', 'ORG']]"
O,immediate,comment,declined,0,0,0,0,0,0,0,OTHER,"[['comment', 'O', 'OTHER'], ['on', 'O', 'OTHER']]","[['World', 'I-ACQUIRED', 'ORG'], ['Inc', 'I-ACQUIRED', 'ORG']]"
B-ACQLOC,"Bellevue,",Wash,in,0,1,0,0,0,0,0,OTHER,"[['Wash', 'I-ACQLOC', 'OTHER'], ['.,', 'O', 'OTHER']]","[[""Vernell's,"", 'O', 'OTHER'], ['based', 'O', 'OTHER']]"
I-ACQLOC,Wash,".,","Bellevue,",0,1,0,0,0,0,0,OTHER,"[['.,', 'O', 'OTHER'], ['had', 'O', 'OTHER']]","[['based', 'O', 'OTHER'], ['in', 'O', 'OTHER']]"
O,".,",had,Wash,0,0,0,0,0,0,0,OTHER,"[['had', 'O', 'OTHER'], ['annual', 'O', 'OTHER']]","[['in', 'O', 'OTHER'], ['Bellevue,', 'B-ACQLOC', 'OTHER']]"
O,had,annual,".,",0,0,0,0,0,0,0,OTHER,"[['annual', 'O', 'OTHER'], ['sales', 'O', 'OTHER']]","[['Bellevue,', 'B-ACQLOC', 'OTHER'], ['Wash', 'I-ACQLOC', 'OTHER']]"
O,annual,sales,had,0,0,0,0,0,0,0,OTHER,"[['sales', 'O', 'OTHER'], ['exceeding', 'O', 'OTHER']]","[['Wash', 'I-ACQLOC', 'OTHER'], ['.,', 'O', 'OTHER']]"
O,sales,exceeding,annual,0,0,0,0,0,0,0,OTHER,"[['exceeding', 'O', 'OTHER'], ['30', 'O', 'OTHER']]","[['.,', 'O', 'OTHER'], ['had', 'O', 'OTHER']]"
O,exceeding,30,sales,0,0,0,0,0,0,0,OTHER,"[['30', 'O', 'OTHER'], ['mln', 'O', 'OTHER']]","[['had', 'O', 'OTHER'], ['annual', 'O', 'OTHER']]"
B-ACQLOC,"Jackson,",Mich.,a,0,1,0,0,0,0,0,OTHER,"[['Mich.', 'I-ACQLOC', 'OTHER'], ['-based', 'O', 'OTHER']]","[['of', 'O', 'OTHER'], ['Hayes,', 'O', 'OTHER']]"
I-ACQLOC,Mich.,-based,"Jackson,",0,1,0,0,0,0,0,OTHER,"[['-based', 'O', 'OTHER'], ['maker', 'O', 'OTHER']]","[['Hayes,', 'O', 'OTHER'], ['a', 'O', 'OTHER']]"
O,-based,maker,Mich.,0,0,0,0,0,0,0,OTHER,"[['maker', 'O', 'OTHER'], ['of', 'O', 'OTHER']]","[['a', 'O', 'OTHER'], ['Jackson,', 'B-ACQLOC', 'OTHER']]"
O,maker,of,-based,0,0,0,0,0,0,0,OTHER,"[['of', 'O', 'OTHER'], ['auto', 'B-ACQBUS', 'OTHER']]","[['Jackson,', 'B-ACQLOC', 'OTHER'], ['Mich.', 'I-ACQLOC', 'OTHER']]"
