LABEL,WORD,WORD+1,WORD-1,ABBR,CAP,NUM,LOC,PREF,SUFF,PREP,NERTAG,NEXTWORDS,PREVWORDS
O,Meridian,Energy,PHI,0,1,0,0,0,0,0,OTHER,"[['Energy', 'I-PURCHASER', 'OTHER'], ['Inc', 'I-PURCHASER', 'OTHER']]","['PHI', 'PHI', 'PHI']"
O,Energy,Inc,PHI,0,1,0,0,0,1,0,OTHER,"[['Inc', 'I-PURCHASER', 'OTHER'], ['and', 'O', 'OTHER']]","['PHI', 'PHI', 'PHI']"
O,Inc,and,Energy,0,1,0,0,0,0,0,OTHER,"[['and', 'O', 'OTHER'], ['Castone', 'B-ACQUIRED', 'ORG']]","['PHI', 'PHI', ['Meridian', 'B-PURCHASER', 'OTHER']]"
O,and,Castone,Inc,0,0,0,0,0,0,0,OTHER,"[['Castone', 'B-ACQUIRED', 'ORG'], ['Development', 'I-ACQUIRED', 'ORG']]","['PHI', ['Meridian', 'B-PURCHASER', 'OTHER'], ['Energy', 'I-PURCHASER', 'OTHER']]"
O,Castone,Development,and,0,1,0,0,0,0,0,ORG,"[['Development', 'I-ACQUIRED', 'ORG'], ['Corp', 'I-ACQUIRED', 'ORG']]","[['Energy', 'I-PURCHASER', 'OTHER'], ['Inc', 'I-PURCHASER', 'OTHER']]"
O,Development,Corp,Castone,0,1,0,0,0,1,0,ORG,"[['Corp', 'I-ACQUIRED', 'ORG'], [',', 'O', 'OTHER']]","[['Inc', 'I-PURCHASER', 'OTHER'], ['and', 'O', 'OTHER']]"
O,Corp,",",Development,0,1,0,0,0,0,0,ORG,"[[',', 'O', 'OTHER'], ['a', 'O', 'OTHER']]","[['and', 'O', 'OTHER'], ['Castone', 'B-ACQUIRED', 'ORG']]"
O,",",a,Corp,0,0,0,0,0,0,0,OTHER,"[['a', 'O', 'OTHER'], ['privately-held', 'O', 'OTHER']]","[['Castone', 'B-ACQUIRED', 'ORG'], ['Development', 'I-ACQUIRED', 'ORG']]"
O,a,privately-held,",",0,0,0,0,0,0,0,OTHER,"[['privately-held', 'O', 'OTHER'], ['company,', 'O', 'OTHER']]","[['Development', 'I-ACQUIRED', 'ORG'], ['Corp', 'I-ACQUIRED', 'ORG']]"
O,privately-held,"company,",a,0,0,0,0,0,0,0,OTHER,"[['company,', 'O', 'OTHER'], ['jointly', 'O', 'OTHER']]","[['Corp', 'I-ACQUIRED', 'ORG'], [',', 'O', 'OTHER']]"
O,"company,",jointly,privately-held,0,0,0,0,0,0,0,OTHER,"[['jointly', 'O', 'OTHER'], ['announced', 'O', 'OTHER']]","[[',', 'O', 'OTHER'], ['a', 'O', 'OTHER']]"
O,jointly,announced,"company,",0,0,0,0,0,0,0,OTHER,"[['announced', 'O', 'OTHER'], ['that', 'O', 'OTHER']]","[['a', 'O', 'OTHER'], ['privately-held', 'O', 'OTHER']]"
O,announced,that,jointly,0,0,0,0,0,0,0,OTHER,"[['that', 'O', 'OTHER'], ['they', 'O', 'OTHER']]","[['privately-held', 'O', 'OTHER'], ['company,', 'O', 'OTHER']]"
O,that,they,announced,0,0,0,0,0,0,0,OTHER,"[['they', 'O', 'OTHER'], ['have', 'O', 'OTHER']]","[['company,', 'O', 'OTHER'], ['jointly', 'O', 'OTHER']]"
O,they,have,that,0,0,0,0,0,0,0,OTHER,"[['have', 'O', 'OTHER'], ['decided', 'O', 'OTHER']]","[['jointly', 'O', 'OTHER'], ['announced', 'O', 'OTHER']]"
O,have,decided,they,0,0,0,0,0,0,0,OTHER,"[['decided', 'O', 'OTHER'], ['to', 'O', 'OTHER']]","[['announced', 'O', 'OTHER'], ['that', 'O', 'OTHER']]"
O,decided,to,have,0,0,0,0,0,0,0,OTHER,"[['to', 'O', 'OTHER'], ['terminate', 'B-STATUS', 'OTHER']]","[['that', 'O', 'OTHER'], ['they', 'O', 'OTHER']]"
O,to,terminate,decided,0,0,0,0,0,0,1,OTHER,"[['terminate', 'B-STATUS', 'OTHER'], ['the', 'I-STATUS', 'OTHER']]","[['they', 'O', 'OTHER'], ['have', 'O', 'OTHER']]"
O,terminate,the,to,0,0,0,0,0,0,0,OTHER,"[['the', 'I-STATUS', 'OTHER'], ['letter', 'I-STATUS', 'OTHER']]","[['have', 'O', 'OTHER'], ['decided', 'O', 'OTHER']]"
O,the,letter,terminate,0,0,0,0,0,0,0,OTHER,"[['letter', 'I-STATUS', 'OTHER'], ['of', 'I-STATUS', 'OTHER']]","[['decided', 'O', 'OTHER'], ['to', 'O', 'OTHER']]"
