LABEL,WORD,CAP,NUM,LOC,PREF,PREP,SUFF
B-ACQUIRED,Castone,1,0,0,0,0,0
I-ACQUIRED,Development,1,0,0,0,0,0
I-ACQUIRED,Corp,1,0,0,0,0,1
B-PURCHASER,Meridian,1,0,0,0,0,0
I-PURCHASER,Energy,1,0,0,0,0,0
I-PURCHASER,Inc,1,0,0,0,0,1
B-STATUS,terminate,0,0,0,0,0,0
I-STATUS,the,0,0,0,0,0,0
I-STATUS,letter,0,0,0,0,0,0
I-STATUS,of,0,0,0,0,1,0
I-STATUS,intent,0,0,0,0,0,0
B-ACQUIRED,Users,1,0,0,0,0,0
I-ACQUIRED,Inc,1,0,0,0,0,1
B-ACQBUS,credit,0,0,0,0,0,0
I-ACQBUS,union,0,0,0,0,0,0
I-ACQBUS,data,0,0,0,0,0,0
I-ACQBUS,processing,0,0,0,0,0,0
B-PURCHASER,Security,1,0,0,0,0,0
I-PURCHASER,Pacific,1,0,0,0,0,0
I-PURCHASER,Corp,1,0,0,0,0,1
B-STATUS,agreed,0,0,0,0,0,0
I-STATUS,to,0,0,0,0,1,0
I-STATUS,withdraw,0,0,0,0,0,0
B-ACQUIRED,American,1,0,0,0,0,0
I-ACQUIRED,Adventure,1,0,0,0,0,0
I-ACQUIRED,Inc,1,0,0,0,0,1
B-DLRAMT,83,0,1,0,0,0,0
I-DLRAMT,mln,0,0,0,0,0,0
I-DLRAMT,dlrs,0,0,0,0,0,0
B-PURCHASER,Americanture,1,0,0,0,0,0
I-PURCHASER,Inc,1,0,0,0,0,1
B-STATUS,purchased,0,0,0,0,0,0
B-ACQUIRED,Arsenal,1,0,0,0,0,0
I-ACQUIRED,Acquiring,1,0,0,0,0,0
I-ACQUIRED,Corp,1,0,0,0,0,1
B-PURCHASER,Viacom,1,0,0,0,0,0
I-PURCHASER,International,1,0,0,0,0,0
I-PURCHASER,Inc,1,0,0,0,0,1
B-SELLER,Arsenal,1,0,0,0,0,0
I-SELLER,Holdings,1,0,0,0,0,0
I-SELLER,Inc,1,0,0,0,0,1
B-STATUS,record,0,0,0,0,0,0
I-STATUS,date,0,0,0,0,0,0
B-ACQUIRED,Capital,1,0,0,0,0,0
I-ACQUIRED,Food,1,0,0,0,0,0
I-ACQUIRED,Services,1,0,0,0,0,0
I-ACQUIRED,Ltd,1,0,0,0,0,1
B-ACQBUS,food,0,0,0,0,0,0
I-ACQBUS,services,0,0,0,0,0,0
B-ACQLOC,Ottawa,1,0,1,0,0,0
B-PURCHASER,Scott's,1,0,0,0,0,0
I-PURCHASER,Hospitality,1,0,0,0,0,0
I-PURCHASER,Inc,1,0,0,0,0,1
B-STATUS,acquired,0,0,0,0,0,0
B-ACQUIRED,cable,0,0,0,0,0,0
I-ACQUIRED,television,0,0,0,0,0,0
I-ACQUIRED,business,0,0,0,0,0,0
B-DLRAMT,undisclosed,0,0,0,0,0,0
B-SELLER,Video,1,0,0,0,0,0
I-SELLER,Display,1,0,0,0,0,0
I-SELLER,Corfp,1,0,0,0,0,0
B-STATUS,tentiative,0,0,0,0,0,0
I-STATUS,agreement,0,0,0,0,0,0
B-ACQUIRED,Noblee,1,0,0,0,0,0
I-ACQUIRED,und,0,0,0,0,0,0
I-ACQUIRED,Thoerl,1,0,0,0,0,0
I-ACQUIRED,GmbH,1,0,0,0,0,0
B-ACQBUS,OIL,1,0,0,0,0,0
I-ACQBUS,AND,1,0,0,0,0,0
I-ACQBUS,FATS,1,0,0,0,0,0
